alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
2.76027,"(0.0, 0.0)","(0.03996206532280126, -0.0025374712122348078)","(0.08238014708909436, -0.010645538726818123)","(0.12717316121414546, -0.025208916052244915)","(0.1742936070308594, -0.04738390478986785)","(0.22375983711361255, -0.07877068137713589)","(0.27572360930229023, -0.12174891851892872)","(0.330632085951521, -0.18021893881405004)","(0.3897039111439759, -0.2615891097301082)","(0.4569456941417456, -0.3843838640844191)","(0.5866845444434824, -0.7310489378282794)",0.007948099984787405
2.820265,"(0.0, 0.0)","(0.03973866135506225, -0.002539476434361967)","(0.0819244711142764, -0.010655784635245242)","(0.12647137144176207, -0.02523779586178271)","(0.17332513022408183, -0.047447735557681406)","(0.22249451136888893, -0.07889493063603875)","(0.27411662127098413, -0.12197439848182579)","(0.3286139342413426, -0.18061471430366438)","(0.3871568948394683, -0.26228340475361844)","(0.45362902188587284, -0.3856614714079125)","(0.5811599402953722, -0.7346248957943035)",0.006970100104808807
2.88026,"(0.0, 0.0)","(0.03951820405224413, -0.002540929181882023)","(0.08147475865707651, -0.010663677349191422)","(0.12577888774941542, -0.02526102803153066)","(0.17236995784684864, -0.047500828173025755)","(0.221247588956849, -0.07900116646459182)","(0.27253487086522915, -0.12217188237634354)","(0.32663057345116064, -0.18096906559482456)","(0.3846586770137105, -0.26291828538885503)","(0.45038356450701267, -0.38685510438493015)","(0.575772591684056, -0.7380679688083311)",0.006804000004194677
2.9402549999999996,"(0.0, 0.0)","(0.039300647601700066, -0.0025418652580553825)","(0.08103091585824786, -0.010669366590118886)","(0.1250955530182978, -0.025278964966711392)","(0.17142783811115123, -0.04754383862015265)","(0.22001867112586146, -0.07909046343552656)","(0.270977731885564, -0.12234299536755297)","(0.3246810286080567, -0.18128432262487468)","(0.38220774535903546, -0.2634969767057821)","(0.44720693689606944, -0.38796917359959576)","(0.570517547191618, -0.7413854790097104)",0.006881100009195507
3.00025,"(0.0, 0.0)","(0.03908594590870799, -0.0025423180434800308)","(0.0805928484858076, -0.010672992062075635)","(0.12442121053706788, -0.0252919357539461)","(0.17049852209902458, -0.047577379942952275)","(0.2188073671335936, -0.07916382649267814)","(0.26944459522639314, -0.12248925822505839)","(0.3227643566089281, -0.1815626664326655)","(0.37980264271833897, -0.2640224970789823)","(0.4440968472538358, -0.38900780120465217)","(0.565390063348727, -0.7445842407072153)",0.007190699921920896
3.0602449999999997,"(0.0, 0.0)","(0.03887405276848378, -0.002542318680185159)","(0.08016046226341185, -0.010674684207379334)","(0.12375570443796378, -0.025300247909898477)","(0.1695817642211289, -0.047602025451731075)","(0.21761329460121634, -0.07922219614303194)","(0.2679348689494476, -0.12261209512618379)","(0.3208796457706262, -0.18180614037926307)","(0.3774419657575462, -0.26449767401548224)","(0.4410510942552613, -0.38997484355592726)","(0.5603855969999024, -0.747670601731974)",0.007530800066888332
3.12024,"(0.0, 0.0)","(0.03866492201252457, -0.0025418962401273634)","(0.07973366314837087, -0.01067456489855576)","(0.12309888005964412, -0.0253041889827502)","(0.16867732258151377, -0.04761831166000614)","(0.21643607975592385, -0.07926645321001813)","(0.2664479782304207, -0.12271284079459836)","(0.3190260152408758, -0.18201666040121367)","(0.3751243634899289, -0.26492515859546306)","(0.43806756406368175, -0.39087391182623415)","(0.5554997975527016, -0.750650480978663)",0.007853800081647933
3.1802349999999997,"(0.0, 0.0)","(0.038458507632903774, -0.0025410778795341353)","(0.0793123575665438, -0.010672748072423653)","(0.12245058424777859, -0.025304028020117313)","(0.16778495926375406, -0.047626740976366856)","(0.21527535758183772, -0.07929742318904326)","(0.26498336520488375, -0.12279274703710001)","(0.31720261430386876, -0.18219602438885513)","(0.37284853569668647, -0.2653074386604393)","(0.43514422725479296, -0.391708390797941)","(0.5507284992116208, -0.7535294025833014)",0.007996600004844368
3.24023,"(0.0, 0.0)","(0.03825476388742427, -0.0025398889803717865)","(0.07889645260989347, -0.010669340311529739)","(0.1218106656021209, -0.02530001691541099)","(0.16690444055040873, -0.047627784173467705)","(0.21413077189497975, -0.07931588024128759)","(0.2635404887337652, -0.12285298873355822)","(0.3154086216067757, -0.18234592077058695)","(0.37061323127809076, -0.26564685086630285)","(0.4322791356964503, -0.39248145600735007)","(0.5460677132744269, -0.7563125269550464)",0.008765000035054982
3.3002249999999997,"(0.0, 0.0)","(0.038053645388925444, -0.0025383532802095844)","(0.07848585620331831, -0.010664441378139508)","(0.12117897468009582, -0.025292391644703618)","(0.16603553708943172, -0.04762188265640745)","(0.2130019753598781, -0.07932255086224489)","(0.2621188241104408, -0.12289466933589832)","(0.3136432443345352, -0.182467936385598)","(0.36841724656910685, -0.26594559172144705)","(0.4294704194268161, -0.39319608941938117)","(0.5415136205529621, -0.7590046791004558)",0.00927500007674098
3.3602199999999995,"(0.0, 0.0)","(0.03785510717977145, -0.002536492991362312)","(0.07808047724267272, -0.010658144704348506)","(0.12055536415962274, -0.02528137340224775)","(0.1651780240111354, -0.04760945054531732)","(0.21188862945253753, -0.0793181172489421)","(0.26071786271582176, -0.12291882591222576)","(0.31190571734187195, -0.1825635636974384)","(0.3662594236325065, -0.2662057276847761)","(0.4267162835507434, -0.39385509374049404)","(0.5370625639600618, -0.761610374447559)",0.011536600068211555
