alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
0.12048999999999999,"(0.0, 0.0)","(0.05124486282164818, -0.0003098058610365506)","(0.10542500014446762, -0.0012871765397031657)","(0.16310435030457757, -0.0030198533690890357)","(0.2250584872987386, -0.005625113148759385)","(0.29240533873061864, -0.00926715914832467)","(0.3668625644260796, -0.014190895103447126)","(0.4513244455984718, -0.02079655893414112)","(0.5514392470302916, -0.029840777460252446)","(0.6818001590696395, -0.04321293714202822)","(0.9961707923280572, -0.07980007547984981)",0.0060252000112086535
0.1264895,"(0.0, 0.0)","(0.05123759480086117, -0.00032501338159091075)","(0.10541004782580422, -0.001350369103143409)","(0.1630805205125785, -0.0031681263370060687)","(0.2250236236952932, -0.005901326478610496)","(0.292356034625774, -0.009722237227455239)","(0.3667936829739435, -0.014887783508345647)","(0.4512282215104173, -0.021817843075107483)","(0.5513032794986076, -0.03130616689580593)","(0.6816011940769898, -0.045334849374383965)","(0.9957846415708123, -0.08371785619193263)",0.0076058999402448535
0.132489,"(0.0, 0.0)","(0.051229986256660004, -0.0003401896320807639)","(0.10539439527372821, -0.0014134329715521764)","(0.1630555758843378, -0.003316099728014286)","(0.22498713145294338, -0.006176985184129234)","(0.2923044313207573, -0.010176405517563906)","(0.36672159531358145, -0.01558328211122391)","(0.4511275266517933, -0.022837091285983796)","(0.5511610054391929, -0.03276862959609168)","(0.6813930153133481, -0.04745250382953425)","(0.9953806446471867, -0.08762767853691866)",0.006707100081257522
0.1384885,"(0.0, 0.0)","(0.051222038924486575, -0.0003553332626683191)","(0.10537804610135793, -0.0014763625884156206)","(0.16302952233262882, -0.0034637606069056496)","(0.22494901954747323, -0.006452065320012154)","(0.29225054205533846, -0.010629624750078032)","(0.366646320749468, -0.016277330952202265)","(0.4510223890972645, -0.023854215788745078)","(0.5510124659902491, -0.03422803948916652)","(0.681175684978714, -0.04956571732192332)","(0.9949589271405809, -0.0915292009243927)",0.007883300073444843
0.144488,"(0.0, 0.0)","(0.05121375460766195, -0.000370442941086722)","(0.1053610040629389, -0.0015391524693882906)","(0.1630023660006407, -0.0036110962063656852)","(0.22490929730345, -0.006726543252081102)","(0.29219438058223157, -0.011081856168116222)","(0.3665678793318851, -0.01696987085650557)","(0.4509128380033968, -0.02486912996279673)","(0.550857703871766, -0.035684272181308825)","(0.6809492676598068, -0.05167430913585468)","(0.9945196194401762, -0.09542208648176798)",0.0059408999513834715
0.1504875,"(0.0, 0.0)","(0.05120513517624275, -0.00038551735323741354)","(0.10534327305143051, -0.001601797204747421)","(0.16297411325788666, -0.0037580939326830073)","(0.22486797438770167, -0.007000395667859336)","(0.2921359611569594, -0.011533061543868859)","(0.36648629184138687, -0.01766084346109961)","(0.45079890358504326, -0.02588174838418129)","(0.5506967633495681, -0.037137205013752485)","(0.6807138302738316, -0.05377810110877413)","(0.9940628566226335, -0.09930600321750459)",0.006060700048692524
0.156487,"(0.0, 0.0)","(0.05119618256526358, -0.00040055520375172315)","(0.10532485709482453, -0.0016642914616998316)","(0.16294477069413865, -0.0039047413711149107)","(0.2248250608000516, -0.007273599586508737)","(0.2920752985241077, -0.011983203194925608)","(0.3664015797686698, -0.018350191239709424)","(0.45068061708596585, -0.026891986862398156)","(0.5505296901921417, -0.03858671711595984)","(0.6804694420030362, -0.05587691770946406)","(0.9935887783194423, -0.1031806241655794)",0.007835499942302704
0.16248649999999998,"(0.0, 0.0)","(0.05118689877316979, -0.00041555521653226604)","(0.1053057603528577, -0.0017266299866061472)","(0.1629143451139665, -0.004051026291060914)","(0.2247805668648651, -0.007546132368411027)","(0.29201240790459787, -0.012432244000016215)","(0.3663137652956485, -0.01903785752693388)","(0.4505580107508283, -0.027899762475882176)","(0.5503565316289677, -0.040032689456933876)","(0.680216174230834, -0.05797058611331981)","(0.9930975285856773, -0.10704562753020343)",0.00620489998254925
0.168486,"(0.0, 0.0)","(0.05117728586027519, -0.00043051613527079184)","(0.1052859871137718, -0.0017888076071084322)","(0.16288284353134005, -0.004196936651011692)","(0.22473450322266406, -0.007817971724332384)","(0.2919473049830091, -0.012880147414064787)","(0.366222871276531, -0.019723786541303252)","(0.45043111779709144, -0.028904993605917417)","(0.550177336308569, -0.0414750048942477)","(0.679954100477318, -0.060058936274240686)","(0.9925892557670594, -0.1109006968222283)",0.008411300019361079
0.1744855,"(0.0, 0.0)","(0.051167345946811264, -0.0004454367239312782)","(0.105265541790234, -0.0018508192341146871)","(0.16285027316292727, -0.004342460603164139)","(0.2246868808199259, -0.008089095723968)","(0.29188000589251123, -0.013326877482222192)","(0.3661289212158468, -0.020407923406766483)","(0.45029997238307284, -0.02990759996823288)","(0.5499921542517481, -0.04291354821971105)","(0.6796832963286029, -0.06214180099157181)","(0.9920641123573407, -0.11474552098681308)",0.006177000002935529
