alpha,coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,time
11.136008875,"(0.0, 0.0)","(9.714529903464414e-05, -0.0018762467619996158)","(0.0008307435075348632, -0.00793682124199811)","(0.003020487050057724, -0.018970310571189447)","(0.007791073856758521, -0.03604980136948518)","(0.01678287034246026, -0.0607442155852213)","(0.03259217745448598, -0.09555990610293484)","(0.05982630550322396, -0.14499891873720033)","(0.10822003279420508, -0.21868619924456367)","(0.2060522431248037, -0.3448499914462117)","(0.7004010510190664, -0.875679536824885)",0.014041499991435558
11.52000875,"(0.0, 0.0)","(9.594479490160693e-05, -0.0018502840387183202)","(0.0008205668156350474, -0.007827674766320184)","(0.0029838913938174394, -0.018711358500268088)","(0.007698026149400947, -0.035562270828967665)","(0.01658632841231114, -0.05993287858354251)","(0.032221201556700746, -0.0943061653554813)","(0.05917544062033922, -0.14314976367599655)","(0.10713749132920544, -0.21604047937102178)","(0.20439859539332533, -0.3412064309715678)","(0.7054270825863822, -0.8777946076343617)",0.017151400010334328
11.904008625,"(0.0, 0.0)","(9.477204335873318e-05, -0.0018251850476832415)","(0.0008106174672636926, -0.007722104544707937)","(0.0029480774314403213, -0.018460736758656986)","(0.007606847061739905, -0.03509006076082662)","(0.01639339052601302, -0.059146236885064714)","(0.0318560876952535, -0.09308882437739224)","(0.05853222932194502, -0.14135022557165106)","(0.10605949200921297, -0.21345517091968266)","(0.20271819656586465, -0.3376104670655142)","(0.7102092885164559, -0.879803289738679)",0.023090199974831194
12.2880085,"(0.0, 0.0)","(9.362740042972995e-05, -0.001800915803302991)","(0.000800899652811278, -0.007619975993438811)","(0.002913065490676922, -0.018218149113564706)","(0.007517605523936544, -0.03463266694071328)","(0.016204251267957104, -0.05838356727868818)","(0.03149733465168658, -0.09190701463149503)","(0.057897902806699736, -0.1395995788995744)","(0.10498913034449459, -0.2109305935936714)","(0.20101958228894384, -0.33406648020903545)","(0.7147666565327232, -0.8817143975303088)",0.018436699989251792
12.672008375,"(0.0, 0.0)","(9.251094581587405e-05, -0.0017774426362622592)","(0.0007914150587637267, -0.00752115468178721)","(0.002878866180195186, -0.01798329647359024)","(0.007430343449111157, -0.03418957243863457)","(0.016019041751086066, -0.057644109936192095)","(0.031145304745041014, -0.09075977887974508)","(0.05727340987997595, -0.13789689933018634)","(0.10392891617025318, -0.20846663168333002)","(0.19931004757713877, -0.33057791091713984)","(0.7191161808954871, -0.883535738965919)",0.016422499989857897
13.05600825,"(0.0, 0.0)","(9.142254456505697e-05, -0.0017547325183659682)","(0.0007821634133511335, -0.0074255078716675615)","(0.0028454824511417176, -0.017755881007582307)","(0.007345081287853439, -0.03376025640404366)","(0.015837842190403073, -0.05692708513195035)","(0.030800249650221795, -0.0896461011618723)","(0.056659467234811495, -0.13624111602490288)","(0.10288086889680928, -0.20606282412179933)","(0.19759581598164214, -0.3271474028693321)","(0.7232731217711676, -0.8852742601209952)",0.01900430000387132
13.440008125,"(0.0, 0.0)","(9.03618961836418e-05, -0.0017327532905301603)","(0.0007731429223998484, -0.007332905622955799)","(0.0028129112497140146, -0.01753560916251469)","(0.007261822499897069, -0.03334420062813023)","(0.015660692079617525, -0.05623170597392313)","(0.030462331441168944, -0.08856493008337483)","(0.05605660083439362, -0.13463105317387378)","(0.10184659709423471, -0.2037184379960014)","(0.19588218480062106, -0.32377692450027873)","(0.727251224530499, -0.8869361648037333)",0.02988700001151301
13.824008,"(0.0, 0.0)","(8.932857380759135e-05, -0.0017114738178018987)","(0.0007643506180649712, -0.007243221569337712)","(0.0027811448443041953, -0.017322193840206338)","(0.007180557161153706, -0.03294089439469215)","(0.015487598445122513, -0.05555718803625821)","(0.030131639779598096, -0.08751519685031665)","(0.055465180046595175, -0.13306546296877653)","(0.10082736513340243, -0.20143252862438016)","(0.1941736500632434, -0.32046787261627596)","(0.7310629066093475, -0.8885270147051272)",0.019148599996697158
14.208007875,"(0.0, 0.0)","(8.832205548078148e-05, -0.0016908640895259015)","(0.0007557826382286123, -0.0071563334445549015)","(0.0027501718929222596, -0.017115355931723062)","(0.0071012648782694116, -0.032549838013003506)","(0.01531854255315386, -0.054902756582881955)","(0.029808205983705843, -0.08649582917322134)","(0.05488544585910987, -0.13154305174268502)","(0.0998241491052558, -0.19920398869890976)","(0.19247401437309167, -0.31722116093927466)","(0.7347194171206683, -0.890051813432925)",0.02255749999312684
14.59200775,"(0.0, 0.0)","(8.73417490912902e-05, -0.0016708952776971866)","(0.0007474344500585442, -0.007072123416833621)","(0.00271997830086243, -0.016914825354090935)","(0.0070239171419520935, -0.03217054532047543)","(0.015153485357556937, -0.054267651889518875)","(0.02949201454058903, -0.08550576187181627)","(0.054317534199436884, -0.13006250056975893)","(0.09883768373504784, -0.1970315883619163)","(0.19078647991284067, -0.31403729564627064)","(0.7382309733903305, -0.8915150770297187)",0.019355199998244643
