F,E,base,height,length,coord0,phi0,k0,coord1,phi1,k1,coord2,phi2,k2,coord3,phi3,k3,coord4,phi4,k4,coord5,phi5,k5,coord6,phi6,k6,coord7,phi7,k7,coord8,phi8,k8,coord9,phi9,k9,time
100.0,300000000000.0,0.02,0.01,1.0,"(0.0, -0.0)",0.0,0.19947069033171497,"(0.11110275784013918, -0.0011855328940949745)",0.02092888936666009,0.17725013876368712,"(0.2221610723048345, -0.004558826181219445)",0.03938925295873348,0.15503847587074807,"(0.33314519402177745, -0.009844704181951942)",0.05538243710504091,0.13284165152735947,"(0.4440395436342838, -0.01676813246198506)",0.0689102879530782,0.11066278160485819,"(0.5548406612276153, -0.025054585053071503)",0.07997485944332779,0.08850255808619187,"(0.665555158940216, -0.0344302319833723)",0.08857816669399114,0.06635965854367175,"(0.7761976841844989, -0.044621977549784794)",0.09472198484203437,0.0442311534948152,"(0.8867888956518584, -0.05535737990970215)",0.09840769299925052,0.02211291120134326,"(0.9973534516586628, -0.066364482148808)",0.09963616304045113,-1.7642137750684128e-14,0.011825500027043745
100.0,300000000000.0,0.02,0.02,0.2,"(0.0, -0.0)",0.0,0.004999999666673204,"(0.022222222180225296, -1.188843080763246e-06)",0.00010493826420362787,0.004444444112167572,"(0.0444444441321948, -4.572473365078618e-06)",0.00019753084946472522,0.0038888885633683343,"(0.06666666570155444, -9.876542409584514e-06)",0.0002777777559550206,0.003333333024134344,"(0.08888888683066043, -1.6826701773078418e-05)",0.00034567898394151055,0.0027777774959066937,"(0.11111110750426058, -2.5148603029959792e-05)",0.0004012345336738798,0.002222221979066689,"(0.1333333277450487, -3.4567897770996334e-05)",0.0004444444053766798,0.0016666664730469868,"(0.1555555476136646, -4.481023760332403e-05)",0.0004753085992493287,0.0011111109763315878,"(0.1777777672086942, -5.5601274150447113e-05)",0.0004938271154661112,0.0005555554864558488,"(0.19999998666666935, -6.666665905223806e-05)",0.0004999999541761789,6.468783841917514e-15,0.004534999985480681
100.0,300000000000.0,0.02,0.02,0.6000000000000001,"(0.0, -0.0)",0.0,0.014999919001249692,"(0.06666665631496088, -3.209858444326601e-05)",0.0009444390477303661,0.01333325259337567,"(0.133333258306007, -0.0001234560410867274)",0.001777767041580914,0.011666587543599517,"(0.1999997700937325, -0.0002666649123688206)",0.0024999841079790678,0.00999992474890638,"(0.26666617172951823, -0.00045431775921904146)",0.0031110904071722113,0.008333264708011736,"(0.3333324588339271, -0.000679007164105716)",0.003611086129962639,0.006666607530401518,"(0.39999863974280014, -0.0009333257434947226)",0.003999971467089257,0.004999953007679692,"(0.46666473289156296, -0.0012098661639284333)",0.004277746580474079,0.0033333006789606216,"(0.5333307630381042, -0.001501221121340492)",0.004444411594244998,0.0016666499252970925,"(0.5999967600499885, -0.0017999833379011537)",0.00449996658840933,-9.540979117872439e-18,0.0063603000016883016
100.0,300000000000.0,0.02,0.02,1.0,"(0.0, -0.0)",0.0,0.024998958457315062,"(0.11111097958766392, -0.00014859889242286057)",0.002623341152487382,0.022221183967623463,"(0.22222126143379323, -0.0005715323515157207)",0.004938041541745121,0.01944342692147023,"(0.3333303756982944, -0.0012345052421575105)",0.006944103781447984,0.016665699064857705,"(0.4444380768702071, -0.002103222623587677)",0.008641531528194496,0.013888006535559886,"(0.5555443113403367, -0.003143390589109173)",0.010030328830584934,0.011110350673806647,"(0.6666491788542985, -0.0043207166073203985)",0.011110499617400287,0.0083327289859576,"(0.7777529112600297, -0.005600909564386587)",0.011882047425100342,0.005555135675814322,"(0.8888558359710256, -0.0069496797172149925)",0.012344974965264238,0.0027775625580394245,"(0.999958338292873, -0.008332738176836054)",0.01249928394272484,-6.7671562797855245e-15,0.007558399986010045
1000.0,100000000000.0,0.01,0.01,0.2,"(0.0, -0.0)",0.0,2.364667043766807,"(0.022212841691987152, -0.000561806378049935)",0.049585830095961014,2.098112943462961,"(0.044375867095688894, -0.0021583564559385375)",0.09325394693704135,1.8321566386185404,"(0.06645597799452392, -0.00465578363126742)",0.13102243171413372,1.56719530783252,"(0.0884361082094487, -0.007920620109831418)",0.162915999211986,1.3034337452534226,"(0.11031276491763438, -0.011820762414277004)",0.18896205098352,1.0409138647551948,"(0.13209359647377086, -0.016225950310727256)",0.2091873813359787,0.779543886081557,"(0.15379502512072582, -0.021007850484830035)",0.22361552319446706,0.5191267423180977,"(0.17543996007260923, -0.0260398330427456)",0.23226471531767665,0.2593875228954965,"(0.19705558698056722, -0.03119652474531775)",0.23514646894977462,1.3183898417423734e-15,0.01790800000890158
1000.0,100000000000.0,0.01,0.01,0.6000000000000001,"(0.0, -0.0)",0.0,4.685539639720767,"(0.06571989806668983, -0.009753951148697483)",0.28589742001711055,3.89690086292049,"(0.12678810287216363, -0.03611130738975738)",0.5208520052717811,3.1640824052548044,"(0.18101053695165462, -0.07472727079105063)",0.7096168531765155,2.5134131963009128,"(0.22803728902538647, -0.12189497890587654)",0.8579014553173004,1.9490921714161304,"(0.26854829154492016, -0.17479628291302288)",0.9712373514716796,1.462960141181727,"(0.30370391051303264, -0.23141752864011492)",1.0543922742793628,1.0410927135643777,"(0.3348371733269588, -0.2903579273078558)",1.1111224973063247,0.6674935597972648,"(0.36330950337554335, -0.3506353321177865)",1.144100764418738,0.32582559921425036,"(0.3904616366433972, -0.41152178326197353)",1.1549177601567169,3.823330541052883e-15,0.03651999999419786
1000.0,100000000000.0,0.01,0.01,1.0,"(0.0, -0.0)",0.0,4.8857667547560855,"(0.10674569537912942, -0.026927029648817213)",0.47031455382379733,3.6048184102065335,"(0.194790514192508, -0.09382917668926428)",0.8096429635590173,2.548280584445991,"(0.26057862200354653, -0.1830482872302248)",1.0465851863310311,1.7588232907135288,"(0.3076391633198571, -0.28356684312566544)",1.2088292635923106,1.1940967949178023,"(0.3408461582432174, -0.389541947466899)",1.3180855549655726,0.7956128558374775,"(0.364458978711342, -0.49809064655698254)",1.3898813813266806,0.5122590102199825,"(0.3817846758532192, -0.6078332245447731)",1.4347034178843954,0.30435064451745586,"(0.39534501928693666, -0.7181109519014018)",1.459180756006266,0.14162652331284525,"(0.40714722956313365, -0.8285931711621469)",1.4669537155526964,-1.5186617154799853e-12,0.05430339998565614
1000.0,100000000000.0,0.01,0.02,0.2,"(0.0, -0.0)",0.0,0.2999280493278663,"(0.022222071107299325, -7.131259012783199e-05)",0.0062946986761333885,0.26659494266691736,"(0.044443337827622206, -0.0002742742158623481)",0.011848673160320684,0.23326304258643302,"(0.06666326116751077, -0.0005924194501772591)",0.01666196003375019,0.1999331575766002,"(0.08888155763283566, -0.0010092836481275728)",0.020734609435838734,0.16660571287861287,"(0.11109816372001527, -0.0015084049117882452)",0.024066677234508175,0.1332808037478435,"(0.1333131978351777, -0.0020733251309737965)",0.026658218230662455,0.0999582525750998,"(0.1555269257752656, -0.002687590228713825)",0.02850928079463661,0.0666376606649679,"(0.17773972136869762, -0.0033347496543615117)",0.0296199024313529,0.03331846727481992,"(0.19995203288492847, -0.003998355550891452)",0.029990106940996623,4.736419589868035e-13,0.006051000003935769
1000.0,100000000000.0,0.01,0.02,0.6000000000000001,"(0.0, -0.0)",0.0,0.8834108603062382,"(0.06663133042521932, -0.0018885794147522812)",0.05556162320293571,0.7834638646684091,"(0.1330751131035232, -0.007253477872314949)",0.10446817788872872,0.6837981906509532,"(0.19920702946760702, -0.015641080883937154)",0.14674517811134713,0.5846003161048275,"(0.26496329155750864, -0.02659948645506421)",0.18242746523609493,0.4859659229699751,"(0.3303311966516123, -0.039682566427826166)",0.21155362611156073,0.3879140653288196,"(0.39533981048212785, -0.05445196145330254)",0.2341613533211828,0.2904011445830462,"(0.46005096024980513, -0.07047741046120194)",0.2502837209684267,0.19333441993153033,"(0.5245506070797519, -0.08733579569740214)",0.25994634363592156,0.09658494968661036,"(0.5889405735374923, -0.10460926049008716)",0.26316537897083153,-3.400058012914542e-16,0.01562360001844354
1000.0,100000000000.0,0.01,0.02,1.0,"(0.0, -0.0)",0.0,1.338087748947772,"(0.11073937641889484, -0.007904170425835116)",0.1394329556331781,1.17197868431943,"(0.219535824461135, -0.030128567698928146)",0.2605491576458968,1.0087840122560698,"(0.32517985029363444, -0.06439305560072935)",0.3637835572844974,0.8503179735073207,"(0.42713186154419014, -0.10848237718498623)",0.449714779955781,0.6973899566314872,"(0.5253728955318091, -0.16034220785277944)",0.5189659750296532,0.5500284056500586,"(0.6202682145061884, -0.21811457653314328)",0.572129682588711,0.4076854271884898,"(0.7124531801148651, -0.2801319481793201)",0.6097136392813153,0.26940797877547445,"(0.8027424021749398, -0.34488544951303185)",0.6321036382864826,0.13397414568536248,"(0.8920584992985217, -0.4109782112506436)",0.6395398261093576,-1.0293849106446373e-14,0.0232819999800995
1000.0,100000000000.0,0.02,0.01,0.2,"(0.0, -0.0)",0.0,1.1954418462790317,"(0.022219822261167636, -0.00028418212181056707)",0.02508397426601628,1.0621229127120262,"(0.04442687800684454, -0.001092692793593272)",0.047206037068952454,0.9288805782379647,"(0.06661262762061841, -0.002359403802688959)",0.06636850847045997,0.7957660805553215,"(0.08877260557250642, -0.004018235848484004)",0.08257456897094187,0.6628062128439933,"(0.11090582738519576, -0.006003284877333072)",0.09582775581587055,0.5300068819678574,"(0.13301419821520882, -0.008248886383020146)",0.10613153830478185,0.39735665698777894,"(0.15510192571584555, -0.010689628365494024)",0.11348897172406834,0.2648302919839585,"(0.1771749381996898, -0.013260323535725847)",0.11790242920865122,0.13239221708089302,"(0.19924030771317225, -0.015895951154322952)",0.11937341079813818,-1.5543122344752192e-15,0.008481600001687184
